uniprot	Gene_names	GNlim_1	GNlim_2
M7WK31	RHTO_02463	1.8329391132266874e-06	1.659306574536586e-06
M7WKW0	RHTO_05872	1.7321829416876594e-06	1.5455827568245205e-06
M7WXL9	RHTO_03085	1.090652261869878e-06	8.806404929354712e-07
M7X9C2	RHTO_03515	1.8501433513053225e-06	1.5676716669571728e-06
M7WTP4	RHTO_01927	2.3512665779116762e-07	1.734341336315718e-07
M7WWF7	RHTO_05117	4.249223502092687e-06	3.630679606369773e-06
M7WVH5	RHTO_01311	3.907029402493282e-07	4.332498687286055e-07
M7XQK1	RHTO_00612	3.6209016249675485e-07	2.806524140125208e-07
M7XPF9	RHTO_00197	4.7314714243761834e-08	3.558822411305012e-08
M7Y0M8	RHTO_00556	1.1693956789420224e-06	9.215962554859201e-07
M7XPQ5	RHTO_00947	7.414930285928325e-08	6.044365287052898e-08
M7X7R8	RHTO_00568	4.133920877801099e-08	3.26003700839464e-08
M7X0A1	RHTO_07269	5.149166729272764e-06	4.48041559248708e-06
M7XKF0	RHTO_02591	1.2049780259053208e-06	1.282298543130711e-06
M7WKL1	RHTO_02331	5.205880052812495e-07	4.322148545202967e-07
M7X7A4	RHTO_00388	8.915669579488044e-07	8.330687242858868e-07
M7XK91	RHTO_06273	3.3087571184183827e-07	2.668918435889491e-07
M7WEV1	RHTO_05520	2.189454591657052e-06	1.800069938446662e-06
M7WWS9	RHTO_02799	2.6939143505170843e-06	2.3181004359250505e-06
M7XRU1	RHTO_07813	8.485717478637402e-07	8.034554549251364e-07
M7WYJ5	RHTO_07795	2.9193327933081866e-06	2.7315222956503893e-06
M7WQJ3	RHTO_08140	2.5868879245831606e-06	2.3866236192186797e-06
M7X6S3	RHTO_00494	8.356642418672823e-07	5.339870789886338e-07
M7WNL4	RHTO_04436	4.948406177430205e-06	3.6894736766188023e-06
M7WHN9	RHTO_03795	5.547986357828044e-07	4.3029597911117313e-07
M7WQ73	RHTO_08030	1.9818008529397923e-07	1.6274081625575938e-07
M7WXF0	RHTO_00824	2.5376061052769676e-06	1.8106843722554282e-06
M7X651	RHTO_00234	3.1458985456315633e-07	2.4676300784916977e-07
M7XPW9	RHTO_00987	1.321081457989413e-07	1.0172642272171128e-07
M7WLW8	RHTO_01562	2.0333915874932217e-06	2.037700080882637e-06
M7WLJ5	RHTO_01843	2.0303094972635953e-06	1.6799349087916277e-06
M7WXQ3	RHTO_07721	4.948174064496709e-06	3.4214464372444657e-06
M7WUH8	RHTO_06231	8.196580936836475e-07	6.70832914398048e-07
M7XJX2	RHTO_06168	3.7685577574025097e-07	3.0162604828988786e-07
M7XQ28	RHTO_01057	9.876468570750541e-08	7.868033872312495e-08
M7XN38	RHTO_03047	1.1923522813208097e-06	1.0278166000028194e-06
M7X6C3	RHTO_05161	4.465048454644204e-06	4.025762992656553e-06
M7WHY4	RHTO_03630	8.420544996319479e-06	6.68844432928894e-06
M7X2S6	RHTO_04588	3.735704097004883e-07	3.7208026487160536e-07
M7XZK8	RHTO_00181	4.152204427221016e-06	3.854102264805792e-06
M7XYI9	RHTO_03086	6.064307571577092e-07	5.075344258642156e-07
M7WKG7	RHTO_06525	1.0588791121552577e-07	8.719681427113682e-08
M7WRU4	TIF34	1.1305115880253057e-06	8.455086754252118e-07
M7WR11	RHTO_07863	6.597447637681784e-06	6.342365786070486e-06
M7WM21	RHTO_05458	1.6417457749466194e-06	1.4866822543729671e-06
M7XHB5	RHTO_04328	1.620030214579921e-06	1.6506765551887131e-06
