uniprot	Gene_names	XNlim_1	XNlim_2
M7XB90	RHTO_02265	2.4201126983413784e-06	2.8749439431919534e-06
M7WLL9	RHTO_05660		7.817168121210024e-07
M7WQT1	RHTO_03466		
M7X5H6	RHTO_03068		2.0836270917364107e-07
M7X3E9	RHTO_04809	2.0992249306917346e-07	2.1944284789580904e-07
M7WJI1	RHTO_02590	4.9415927696375773e-08	1.199545052183987e-07
M7WX08	RHTO_00664	2.3839309537254395e-07	2.0499804308684003e-07
M7X569	RHTO_05546	8.38967637839684e-08	9.507111127948556e-08
M7WRD1	RHTO_02564	4.383020030589481e-08	4.138018001107334e-08
M7WZ22	RHTO_07663		5.42843585810363e-07
M7WUP1	RHTO_01660	1.7976454779112715e-07	1.8818059979890547e-07
M7XIT7	RHTO_06843	1.352297809858863e-07	1.3644758467580995e-07
M7XBT1	RHTO_02090	5.642608649823519e-07	4.79625592530549e-07
M7XWZ2	RHTO_04928	1.1694089921689069e-08	8.99216906112633e-09
M7WKY0	RHTO_05621	1.467108800280158e-06	1.370794466090251e-06
M7XUQ9	RHTO_07037	3.0785543273225405e-08	2.5334531370671062e-08
M7WVD8	RHTO_04741	8.819398863749396e-08	1.754920515946746e-07
M7XEK4	RHTO_05820	8.075193547934651e-07	7.56916837558398e-07
M7X536	RHTO_05684	6.123470382180389e-08	6.820783673356453e-08
M7WJJ6	RHTO_02605	1.0948323206047877e-07	2.4683327675040424e-08
M7XGV7	RHTO_07451		1.1965754800751684e-07
M7X1W7	RHTO_06295	3.3728757477707394e-08	2.9562218019621985e-08
M7WR12	RHTO_03435	3.992708252842069e-08	2.8513865085713394e-08
M7WJ92	RHTO_07058	4.6751245073876115e-07	4.0496248286783645e-07
M7X4C4	RHTO_02904	1.2469136549971472e-06	7.503184223893928e-07
M7XYR3	RHTO_03177	1.9289577185379298e-07	2.3296391564965845e-07
M7X319	RHTO_04891		6.090250270171798e-07
M7X7N8	RHTO_00543	3.90279825324046e-06	2.4648592017717597e-06
M7X074	RHTO_07244		1.0086982629591903e-07
M7X7W6	RHTO_00613	6.427373633240456e-08	5.4238420781945844e-08
M7XLG8	RHTO_04904		1.7536372703863328e-07
M7WT15	RHTO_02077	9.863863780471983e-07	9.689601961950062e-07
M7X416	RHTO_05020	4.650071182706027e-07	5.520582123057463e-07
M7XB39	RHTO_02218		1.7191313238195687e-06
M7WPB7	RHTO_04235	1.1676752786573073e-07	1.2533660411350035e-07
M7WR78	RHTO_02524		1.595170689420447e-07
M7X4F4	RHTO_02934	1.5728884374159546e-07	1.604924755431433e-07
M7X2N1	RHTO_06359	1.5522876064286298e-07	1.9720291249780815e-08
M7WV75	RHTO_01211	1.6976939100686053e-08	3.016645915652793e-08
M7WR73	RHTO_02519	3.556283832893152e-07	3.923504311133196e-07
M7WV46	RHTO_01176	4.94471775504505e-06	5.041549328961898e-06
M7WRF8	RHTO_03384	4.5819553532284747e-07	3.9950430702516106e-07
M7WW19	RHTO_04947	5.334519191529243e-07	1.4833063162819613e-06
M7X147	RHTO_06045	5.716887345090459e-07	6.468319581588172e-07
M7X6K2	RHTO_00414	4.146261739391904e-07	3.281856183137231e-07
M7XK23	RHTO_03432		1.3179935134410807e-08
M7XLX5	RHTO_05094	5.979346535397442e-07	3.7893152252812656e-07
M7WUS1	RHTO_01680	5.025104625401287e-08	5.06191425515745e-08
M7WZN2	RHTO_00535	1.0724780054740133e-07	8.661761201031442e-08
M7WQJ2	INT6	1.905471809936753e-07	1.918385435854506e-07
M7WXU0	RHTO_07766	1.916261952427247e-07	1.8991942149436232e-07
M7XE83	RHTO_00883	3.029341973345533e-07	2.2507604878830533e-07
M7WZQ1	RHTO_00550		2.0658007162664168e-07
M7X476	RHTO_05995	2.4263702790929746e-07	1.9620846664925968e-07
M7WQT3	RHTO_07777	1.995593007879929e-08	5.1291667292053476e-08
M7XB81	RHTO_02149		4.113046510791188e-06
M7X9U5	RHTO_03423	1.0323412145348065e-06	1.2299461194093723e-06
M7X393	RHTO_04759	2.1449858191616972e-08	2.2682034003178873e-08
M7XYY3	RHTO_03252	1.4690635080358373e-07	
M7WSE2	RHTO_02406	1.5216778862021625e-07	1.541692051697797e-07
M7WNZ6	RHTO_04360	1.903485315660811e-07	2.350183150471757e-07
M7X6C2	RHTO_00319	4.294468623652863e-07	7.660087900583923e-07
M7WZI1	RHTO_07235	3.167603881553492e-08	1.1507026657676654e-08
M7WY14	RHTO_08083		2.6711194199964317e-06
M7XE02	RHTO_01264		
M7X5F6	RHTO_00004	5.160737059680142e-07	6.738887980578033e-07
M7XQG4	RHTO_00727	1.7198568615237046e-08	1.6033303660692653e-08
M7XKA6	RHTO_02551	7.958372894866969e-07	7.489371079579588e-07
M7X6K6	RHTO_00133		
M7X5R0	RHTO_05386	1.8652382283889905e-07	1.7943597078050874e-07
M7WSY7	RHTO_02052	1.357457064339333e-07	1.1224699364516256e-07
M7WZ34	RHTO_07678		1.5100549400674705e-07
M7XDQ2	RHTO_01159	1.9318802823356636e-07	1.9931590259254865e-07
M7WKJ0	RHTO_06473	4.0322798223097684e-08	3.799753523387025e-08
M7WXI5	RHTO_08119	1.3494024246302963e-07	1.0242604976326267e-07
M7WJH0	RHTO_02580		1.0158591967639558e-05
M7XD86	RHTO_06698		2.5434874921369393e-07
M7XC38	RHTO_01790	8.169565089668271e-07	7.564366866799448e-07
M7XBC5	RHTO_01939	3.4455425224518076e-06	4.16023232206028e-06
M7WYN4	RHTO_07835		3.661142467278533e-07
M7X6V1	RHTO_04410	7.692834692816707e-08	7.706947218811418e-08
M7XHE8	RHTO_07641	8.240689168575169e-08	8.36343330909298e-08
M7WGM1	RHTO_04357	3.582858272416991e-08	3.529754164164734e-08
M7XFW1	RHTO_05405		2.03301680076681e-07
M7WV90	RHTO_04696		4.483756382662137e-08
M7X492	RHTO_05876	2.674997341031644e-07	2.0985018596727253e-07
M7WX47	RHTO_00709	1.3328110046551883e-06	9.958885742884036e-07
M7XKI3	RHTO_02616		1.8431244102645715e-07
M7WKX1	RHTO_02003	3.810312884257956e-07	3.50609938947693e-07
M7XE50	NAT10	2.602499871847205e-08	2.524152906387749e-08
M7XJL3	RHTO_06083	1.426900901403471e-07	1.1077445121625274e-07
M7WRZ8	RHTO_02447	1.526834966033796e-06	1.0097394126107631e-06
M7X692	RHTO_00284	2.074119892159966e-07	3.539940272390443e-07
M7XWH8	RHTO_04787	3.631446792202295e-08	
M7WZI6	RHTO_07240	3.086433886647475e-07	2.0411391039255794e-07
M7X7C7	RHTO_00418	7.585576861147014e-09	9.929066490017759e-09
M7XQP9	RHTO_00822	1.265322964958206e-07	1.2151946070673162e-07
M7X4V1	RHTO_03084	1.2360078956141968e-07	1.0501333159739432e-07
M7XN27	RHTO_03032		4.483800105810786e-07
M7X0U8	RHTO_06779	4.486011188643738e-07	4.3389873258593334e-07
M7XQ93	RHTO_00652	6.224709765164368e-08	4.457821968254494e-08
M7XIZ5	COQ5		2.62663711090515e-07
M7WSY2	RHTO_02047		1.4498629996215863e-08
M7WLA6	RHTO_02123		9.892141897803197e-07
M7WQM6	RHTO_03607	5.919980095262304e-07	6.23075377695266e-07
M7X2R3	RHTO_04795	3.5883472547061016e-07	3.4834749071292213e-07
M7WHA9	RHTO_03890		5.452341356321104e-08
M7XM27	RHTO_02094	4.283531659940003e-07	3.7289141361663383e-07
M7WQP6	RHTO_03740		5.421738219180038e-07
