uniprot	Gene_names	Xexp_1	Xexp_2	XNlim_1	XNlim_2	Aexp_1	Aexp_2	ANlim_1	ANlim_2	GexpUrea_1	GexpUrea_2	GNlimUrea_1	GNlimUrea_2
M7X6R9	RHTO_00168	3.279575810005706e-06	3.051896883249522e-06	1.5472862339066333e-06	1.5651374518275964e-06	4.022116947784257e-06	3.8634168962507315e-06	2.117306712860738e-06	1.8908706115035551e-06	6.7834319814618185e-06	6.637432576428089e-06	1.8655332518487268e-06	1.469455182546806e-06
M7X0G6	RHTO_07334	1.1540112472931806e-05	1.46679214491885e-05	6.599841018355898e-06	5.380429412968084e-06	8.248878007786574e-06	7.948617531061069e-06	4.253296244411385e-06	4.509702901806697e-06	1.3626066921937176e-05	1.2259679073527586e-05	7.961427401378295e-06	6.867056665940076e-06
M7WR65	RHTO_07923	2.6827440611964725e-06	2.7557494703288947e-06	1.1925302592687515e-06	1.19547300978612e-06	5.278046781985622e-06	5.933432980612419e-06	4.101169434138374e-06	3.5772184083581248e-06	4.047388929401317e-06	3.727690112773738e-06	1.7464912326586156e-06	1.5737304772419454e-06
M7WQW2	RHTO_07812	1.5158632604490186e-05	1.540250338950367e-05		5.6654692011705964e-06	9.00586297729408e-06	8.784508654943436e-06	2.1316592927162715e-05	5.421544937472413e-06			1.1766804778493692e-05	1.0781293907083454e-05
M7XQ32	RHTO_00462	2.2884230516575134e-06	3.6946594014915285e-06	7.896063617559584e-07	8.150814757002499e-07	1.8758466427969978e-06	2.178320312423368e-06	1.5215227860514005e-06	1.28481618530863e-06	3.8639028517292435e-06	3.990133769918007e-06	1.1377317091315225e-06	8.632972625554212e-07
M7WLQ0	RHTO_01903	1.221012487870208e-07	1.3273318458936132e-07	8.482155333906864e-08	7.488555151515987e-08	2.20560763330205e-06	2.3891054877865876e-06	9.176458995630377e-07	8.538097035833325e-07	7.083308323451786e-08	4.948326491573458e-08	8.065892864179506e-08	6.280659074655254e-08
M7X369	RHTO_06694	1.864608359382572e-06	1.8563887444649516e-06	7.33364946268353e-07	6.973301012592511e-07	2.4684892411524706e-06	2.95585525534664e-06	1.8073696341085706e-06	1.6181785431875312e-06	3.4654725148684507e-06	3.7099813599976963e-06	8.594588753797622e-07	7.037061243856942e-07
M7X639	RHTO_03294	1.9619933866077995e-06	2.417120671217041e-06	1.1486996573301172e-06	1.5533982001225005e-06	1.1366552457238238e-06	1.7285950991880764e-06	1.4695598476734856e-06	1.3712315800044455e-06	1.6303181313304135e-06	1.4091332059712876e-06	1.435258668517235e-06	1.452684412432559e-06
M7XPE3	RHTO_00177	3.0913722941783803e-06	3.7684682607648263e-06	1.467301448457532e-06	1.4464751455362904e-06	3.823574383110665e-06	4.406124870028075e-06	2.981102355308994e-06	2.760177663969167e-06	5.888434308969731e-06	5.143224742816114e-06	2.1219568785866917e-06	1.952784566891115e-06
M7X3V9	RHTO_06477	1.7688071134416283e-06	1.736989143403679e-06	7.456010678876013e-07	6.86951173903107e-07	1.3007154475035015e-06	1.3396269730901139e-06	7.194457086700282e-07	6.370118562775729e-07	2.4217273285720044e-06	2.274723918927004e-06	6.160865537835902e-07	4.998854470501425e-07
M7X4Y4	RHTO_02888	6.46173449674534e-06	5.3930619107684175e-06	6.076925840902793e-06	7.05860376878226e-06	1.3076993767666071e-05	1.543209496747133e-05	1.3032115402496378e-05	9.797001367956095e-06	5.457061679873563e-06	5.076393979010046e-06	7.331113458633563e-06	6.173008205301596e-06
M7XCQ6	RHTO_01629	1.5494123421435684e-05	1.6567867952868668e-05	4.344788761894676e-06	4.14635761690827e-06	1.4812085010380838e-06	1.235940000431712e-06	9.012161429859982e-07	8.152977032621854e-07	3.026222259583426e-06	2.1886294770907462e-06	4.761912360334608e-07	6.629068251960375e-07
M7X5S9	RHTO_00114	2.7993004962825284e-06	3.168396097758322e-06	4.947288967782891e-06	4.652627659411754e-06	1.2202084230385966e-05	1.3902171837103008e-05	7.477452220610974e-06	7.71752283713373e-06	7.35454740195052e-06	7.152789043648362e-06	5.356756222546517e-06	4.575292055191863e-06
M7WL95	RHTO_02113	8.401951149722839e-07	9.110232396411554e-07	2.397371284663917e-07	2.312959786860254e-07	1.0540667516463477e-06	1.1775429317087423e-06	5.664673631405261e-07	4.7508014154005584e-07	2.148373917999158e-06	1.9895211927909314e-06	2.777915679958906e-07	2.1785446053567262e-07
M7X137	RHTO_06035	3.8157559140615055e-06	3.7629793854308152e-06	1.3175436052298845e-06	1.2133127832253338e-06	2.2018804696063526e-06	2.2576895296435384e-06	1.1889595076475386e-06	1.0533100094204868e-06	3.6878853925660868e-06	3.866058549507073e-06	1.1435742877271553e-06	9.884569287345393e-07
M7XIF3	RHTO_03982	1.0448979455476561e-06	1.019302851857605e-06	1.7781567211566177e-06	1.8606878679210073e-06	1.4398343607882898e-06	1.48564635238211e-06	8.441209015512858e-07	9.120019811315121e-07	6.676524125839816e-07	1.145240748949567e-06	1.8968815166442633e-06	1.2006289859349476e-06
M7WP44	RHTO_01051	1.998594921446382e-06	2.5276880466501783e-06	1.2399630855179429e-06	1.3512245831586298e-06	1.8872028823084538e-06	2.0355534722034343e-06	1.3788645779907208e-06	1.1318252782899967e-06	4.2154629698935015e-06	3.6417843311024165e-06	1.408335369079832e-06	1.2177708023105765e-06
M7WVW2	RHTO_01205	3.3334384658229067e-06	3.7473122969536814e-06	1.7795838636590834e-06	1.72871553143097e-06	4.537993777016705e-06	4.9700734703919854e-06	3.665281324949214e-06	3.186980209019511e-06	5.1140464276907465e-06	4.709145203562353e-06	2.0383088306811048e-06	1.9012407350426201e-06
M7X3R8	RHTO_02712	8.338360979537481e-06	6.994073429900077e-06	3.060989855151112e-06	4.00594945145313e-06	3.809205701826405e-06	4.498021636457691e-06	2.782489663324566e-06	2.6943520855673293e-06	8.172206946456988e-06	7.636772400548324e-06	4.125353048100004e-06	3.605525108110954e-06
M7X3S2	RHTO_06514	6.9633062023163805e-06	8.154694918758042e-06	1.686664118783049e-05	1.5226427881064969e-05	2.095160088792127e-05	2.4250733433615283e-05	1.9110487826691736e-05	1.984776245417235e-05	1.4484368213885222e-05	1.658922247431955e-05	2.232740048264271e-05	1.8219728326271702e-05
M7X8U4	RHTO_03637	6.7704691149580165e-06	8.088704416860613e-06	1.7265532319366609e-06	1.527929583871201e-06	4.908506576002564e-06	5.534535238941225e-06	2.5069017036808248e-06	2.1588152691829373e-06	1.158264893308591e-05	1.0218976187830387e-05	3.1451440106615204e-06	2.169734441775357e-06
M7XMK6	RHTO_01869	3.863643874279449e-06	4.180790708170572e-06	2.6270752594576383e-06	2.6048729119714463e-06	3.978798306908689e-06	4.510701453312956e-06	4.182319976950305e-06	3.873220864697404e-06	4.308512737802672e-06	3.953075766198726e-06	3.2534556211030014e-06	3.277977480706223e-06
M7X4K6	RHTO_02974	1.565877311495706e-06	1.773102431104579e-06	1.4860709107827279e-06	1.5936448882390882e-06	1.0750159699657354e-06	1.2500773248764184e-06	1.3038739147575515e-06	1.1410182172119055e-06	1.9051822877225369e-06	1.7898876485976106e-06	1.7860354658900437e-06	1.4351199600409975e-06
M7WWW0	RHTO_07939	5.776058963179709e-06	6.59224090023445e-06	5.312106594382773e-06	4.96230559336628e-06	3.779821640452619e-06	4.694765741567507e-06	3.8361459020220485e-06	3.6063735717682257e-06	1.022856768528159e-05	8.959157195477062e-06	5.75184244702345e-06	4.9522641466048495e-06
M7WSW5	RHTO_02032	5.20824749575153e-07	6.690701109935659e-07	7.386421761068663e-07	7.645062746916767e-07	2.7800418037485173e-07	3.354777173565388e-07	4.129629964986698e-07	3.6059121487925285e-07	5.097710310752929e-07	5.371381538402762e-07	6.738165505263731e-07	5.482648704409887e-07
M7XZV4	RHTO_00296	1.7171036781201775e-06	2.0703574397388003e-06	1.0228596447741423e-06	8.251026264220598e-07	1.0642114277294819e-06	1.2616045173850892e-06	9.51332945011734e-07	8.122078186743545e-07	1.609618881128081e-06	1.423634787578438e-06	8.705931000303008e-07	7.791130866461542e-07
M7WXU4	RHTO_07771	8.208472616292568e-06	8.123288909817577e-06	3.6757716791618365e-06	2.0827787664980914e-06	6.654614416983069e-06	6.032593392048173e-06	2.903920973044317e-06	2.4021248377024627e-06	1.4586279141079267e-05	1.3835201976219983e-05	4.177268626217149e-06	3.848215387351768e-06
M7XQA8	RHTO_00667	2.0673731225803082e-06	2.145762448160412e-06	8.761963702608026e-07	8.321492775485246e-07	1.0258374410426578e-06	1.175571430310837e-06	9.515753456947047e-07	9.000091657678346e-07	2.2064075050537474e-06	2.198730850459408e-06	9.39631245857828e-07	7.93912735691992e-07
M7WI20	RHTO_03666	6.741431936123056e-06	7.260345929734363e-06	6.527234999800289e-06	6.937877441827066e-06	7.90709183909862e-06	7.932593508323752e-06	9.268469807385913e-06	8.81855746513087e-06	6.603107750073512e-06	7.183263948710185e-06	7.165012293734576e-06	5.775179394825424e-06
M7X207	RHTO_06344	1.4630242675678308e-06	7.994322055067823e-07	7.01613141479887e-07	9.062332038098298e-07	3.5053978797482676e-06	4.19892816031606e-06	2.066905941586539e-06	2.1036936594530176e-06	1.602959045778391e-06	1.4582604607536095e-06	2.4912454330803313e-06	2.042261049672596e-06
M7WYA2	RHTO_07690	1.6537357612137652e-06	9.66678143417416e-07	6.435203528234355e-07	6.219113012873412e-07	1.4042990095482463e-06	1.397544279025527e-06	6.70227557398961e-07	6.201293536990989e-07	3.494564949926081e-06	3.6567781898214126e-06	8.672421181886438e-07	6.811442768524451e-07
M7WLQ9	RHTO_05368	1.3942489750763793e-05	1.6437528354405015e-05	4.956659371990778e-06	4.382278795495095e-06	1.4139647895041417e-05	1.1869045482367436e-05	5.662775922426602e-06	6.129301720735411e-06	2.6636476039226596e-05	2.7186652959386935e-05	7.928847929871754e-06	6.545529287129048e-06
M7WWD3	RHTO_05087	1.3867334826474806e-06	1.4059869588760316e-06	6.705376081554838e-07	6.87776071058331e-07	7.892173684955581e-07	8.194538145139808e-07	6.523996250488153e-07	5.711895149285944e-07	1.560264460912368e-06	1.457114314693755e-06	8.694498587838479e-07	6.882546373061684e-07
M7XEQ5	RHTO_01053	3.288800274929748e-06	3.6112966551688017e-06	1.6758948130767467e-06	1.8375551083207294e-06	1.0413249882187968e-06	1.2423345734844553e-06	1.0650200038678827e-06	1.088810066392021e-06	2.146956828049398e-06	2.0487058052072306e-06	1.8040168331423227e-06	1.402462944389782e-06
